lat,lon,fecha_actual,mes_pronostico,valor,variable
-38.0,-65.0,2025-12-01,1,32.21,precipitacion_acumulada
-38.0,-65.0,2025-12-01,2,42.23,precipitacion_acumulada
-38.0,-65.0,2025-12-01,3,52.05,precipitacion_acumulada
-38.0,-65.0,2025-12-01,4,58.17,precipitacion_acumulada
-38.0,-65.0,2025-12-01,5,42.84,precipitacion_acumulada
-38.0,-65.0,2025-12-01,6,29.21,precipitacion_acumulada
-38.0,-64.0,2025-12-01,1,40.2,precipitacion_acumulada
-38.0,-64.0,2025-12-01,2,45.63,precipitacion_acumulada
-38.0,-64.0,2025-12-01,3,59.46,precipitacion_acumulada
-38.0,-64.0,2025-12-01,4,65.57,precipitacion_acumulada
-38.0,-64.0,2025-12-01,5,50.36,precipitacion_acumulada
-38.0,-64.0,2025-12-01,6,30.34,precipitacion_acumulada
-38.0,-63.0,2025-12-01,1,51.37,precipitacion_acumulada
-38.0,-63.0,2025-12-01,2,51.28,precipitacion_acumulada
-38.0,-63.0,2025-12-01,3,68.34,precipitacion_acumulada
-38.0,-63.0,2025-12-01,4,67.27,precipitacion_acumulada
-38.0,-63.0,2025-12-01,5,54.89,precipitacion_acumulada
-38.0,-63.0,2025-12-01,6,33.52,precipitacion_acumulada
-38.0,-62.0,2025-12-01,1,62.9,precipitacion_acumulada
-38.0,-62.0,2025-12-01,2,60.84,precipitacion_acumulada
-38.0,-62.0,2025-12-01,3,75.57,precipitacion_acumulada
-38.0,-62.0,2025-12-01,4,65.89,precipitacion_acumulada
-38.0,-62.0,2025-12-01,5,59.21,precipitacion_acumulada
-38.0,-62.0,2025-12-01,6,41.28,precipitacion_acumulada
-38.0,-61.0,2025-12-01,1,72.62,precipitacion_acumulada
-38.0,-61.0,2025-12-01,2,68.65,precipitacion_acumulada
-38.0,-61.0,2025-12-01,3,83.31,precipitacion_acumulada
-38.0,-61.0,2025-12-01,4,67.47,precipitacion_acumulada
-38.0,-61.0,2025-12-01,5,62.54,precipitacion_acumulada
-38.0,-61.0,2025-12-01,6,48.96,precipitacion_acumulada
-38.0,-60.0,2025-12-01,1,78.11,precipitacion_acumulada
-38.0,-60.0,2025-12-01,2,73.95,precipitacion_acumulada
-38.0,-60.0,2025-12-01,3,85.09,precipitacion_acumulada
-38.0,-60.0,2025-12-01,4,67.5,precipitacion_acumulada
-38.0,-60.0,2025-12-01,5,64.75,precipitacion_acumulada
-38.0,-60.0,2025-12-01,6,55.18,precipitacion_acumulada
-38.0,-59.0,2025-12-01,1,78.36,precipitacion_acumulada
-38.0,-59.0,2025-12-01,2,74.85,precipitacion_acumulada
-38.0,-59.0,2025-12-01,3,85.72,precipitacion_acumulada
-38.0,-59.0,2025-12-01,4,70.91,precipitacion_acumulada
-38.0,-59.0,2025-12-01,5,71.15,precipitacion_acumulada
-38.0,-59.0,2025-12-01,6,67.31,precipitacion_acumulada
-38.0,-58.0,2025-12-01,1,80.52,precipitacion_acumulada
-38.0,-58.0,2025-12-01,2,72.91,precipitacion_acumulada
-38.0,-58.0,2025-12-01,3,89.52,precipitacion_acumulada
-38.0,-58.0,2025-12-01,4,74.14,precipitacion_acumulada
-38.0,-58.0,2025-12-01,5,73.2,precipitacion_acumulada
-38.0,-58.0,2025-12-01,6,68.94,precipitacion_acumulada
-38.0,-57.0,2025-12-01,1,78.18,precipitacion_acumulada
-38.0,-57.0,2025-12-01,2,68.69,precipitacion_acumulada
-38.0,-57.0,2025-12-01,3,84.78,precipitacion_acumulada
-38.0,-57.0,2025-12-01,4,74.79,precipitacion_acumulada
